PORT,STATE,SERVICE,BANNER
509,CLOSED,---,NULL
511,CLOSED,---,NULL
514,CLOSED,---,NULL
522,CLOSED,---,NULL
515,CLOSED,---,NULL
524,CLOSED,---,NULL
525,CLOSED,---,NULL
516,CLOSED,---,NULL
517,CLOSED,---,NULL
527,CLOSED,---,NULL
528,CLOSED,---,NULL
529,CLOSED,---,NULL
530,CLOSED,---,NULL
531,CLOSED,---,NULL
523,CLOSED,---,NULL
526,CLOSED,---,NULL
532,CLOSED,---,NULL
533,CLOSED,---,NULL
534,CLOSED,---,NULL
536,CLOSED,---,NULL
535,CLOSED,---,NULL
538,CLOSED,---,NULL
537,CLOSED,---,NULL
540,CLOSED,---,NULL
543,CLOSED,---,NULL
544,CLOSED,---,NULL
545,CLOSED,---,NULL
539,CLOSED,---,NULL
546,CLOSED,---,NULL
547,CLOSED,---,NULL
549,CLOSED,---,NULL
550,CLOSED,---,NULL
551,CLOSED,---,NULL
552,CLOSED,---,NULL
553,CLOSED,---,NULL
554,CLOSED,---,NULL
556,CLOSED,---,NULL
562,CLOSED,---,NULL
564,CLOSED,---,NULL
565,CLOSED,---,NULL
567,CLOSED,---,NULL
570,CLOSED,---,NULL
541,CLOSED,---,NULL
571,CLOSED,---,NULL
577,CLOSED,---,NULL
542,CLOSED,---,NULL
578,CLOSED,---,NULL
579,CLOSED,---,NULL
581,CLOSED,---,NULL
548,CLOSED,---,NULL
555,CLOSED,---,NULL
557,CLOSED,---,NULL
558,CLOSED,---,NULL
583,CLOSED,---,NULL
584,CLOSED,---,NULL
585,CLOSED,---,NULL
586,CLOSED,---,NULL
587,CLOSED,---,NULL
559,CLOSED,---,NULL
560,CLOSED,---,NULL
561,CLOSED,---,NULL
563,CLOSED,---,NULL
566,CLOSED,---,NULL
568,CLOSED,---,NULL
569,CLOSED,---,NULL
572,CLOSED,---,NULL
573,CLOSED,---,NULL
574,CLOSED,---,NULL
575,CLOSED,---,NULL
576,CLOSED,---,NULL
580,CLOSED,---,NULL
582,CLOSED,---,NULL
588,CLOSED,---,NULL
589,CLOSED,---,NULL
590,CLOSED,---,NULL
596,CLOSED,---,NULL
591,CLOSED,---,NULL
592,CLOSED,---,NULL
593,CLOSED,---,NULL
598,CLOSED,---,NULL
601,CLOSED,---,NULL
605,CLOSED,---,NULL
606,CLOSED,---,NULL
608,CLOSED,---,NULL
594,CLOSED,---,NULL
595,CLOSED,---,NULL
609,CLOSED,---,NULL
597,CLOSED,---,NULL
599,CLOSED,---,NULL
600,CLOSED,---,NULL
602,CLOSED,---,NULL
603,CLOSED,---,NULL
604,CLOSED,---,NULL
607,CLOSED,---,NULL
610,CLOSED,---,NULL
611,CLOSED,---,NULL
612,CLOSED,---,NULL
614,CLOSED,---,NULL
613,CLOSED,---,NULL
615,CLOSED,---,NULL
617,CLOSED,---,NULL
616,CLOSED,---,NULL
618,CLOSED,---,NULL
619,CLOSED,---,NULL
623,CLOSED,---,NULL
624,CLOSED,---,NULL
627,CLOSED,---,NULL
630,CLOSED,---,NULL
632,CLOSED,---,NULL
636,CLOSED,---,NULL
620,CLOSED,---,NULL
621,CLOSED,---,NULL
637,CLOSED,---,NULL
622,CLOSED,---,NULL
639,CLOSED,---,NULL
642,CLOSED,---,NULL
643,CLOSED,---,NULL
644,CLOSED,---,NULL
648,CLOSED,---,NULL
625,CLOSED,---,NULL
626,CLOSED,---,NULL
628,CLOSED,---,NULL
629,CLOSED,---,NULL
631,CLOSED,---,NULL
649,CLOSED,---,NULL
650,CLOSED,---,NULL
651,CLOSED,---,NULL
633,CLOSED,---,NULL
634,CLOSED,---,NULL
635,CLOSED,---,NULL
652,CLOSED,---,NULL
638,CLOSED,---,NULL
640,CLOSED,---,NULL
641,CLOSED,---,NULL
645,CLOSED,---,NULL
646,CLOSED,---,NULL
653,CLOSED,---,NULL
647,CLOSED,---,NULL
654,CLOSED,---,NULL
655,CLOSED,---,NULL
657,CLOSED,---,NULL
659,CLOSED,---,NULL
660,CLOSED,---,NULL
656,CLOSED,---,NULL
661,CLOSED,---,NULL
664,CLOSED,---,NULL
667,CLOSED,---,NULL
671,CLOSED,---,NULL
674,CLOSED,---,NULL
676,CLOSED,---,NULL
679,CLOSED,---,NULL
680,CLOSED,---,NULL
682,CLOSED,---,NULL
683,CLOSED,---,NULL
684,CLOSED,---,NULL
686,CLOSED,---,NULL
688,CLOSED,---,NULL
690,CLOSED,---,NULL
658,CLOSED,---,NULL
662,CLOSED,---,NULL
663,CLOSED,---,NULL
665,CLOSED,---,NULL
666,CLOSED,---,NULL
668,CLOSED,---,NULL
669,CLOSED,---,NULL
670,CLOSED,---,NULL
694,CLOSED,---,NULL
695,CLOSED,---,NULL
672,CLOSED,---,NULL
673,CLOSED,---,NULL
698,CLOSED,---,NULL
700,CLOSED,---,NULL
675,CLOSED,---,NULL
677,CLOSED,---,NULL
678,CLOSED,---,NULL
701,CLOSED,---,NULL
702,CLOSED,---,NULL
705,CLOSED,---,NULL
681,CLOSED,---,NULL
685,CLOSED,---,NULL
707,CLOSED,---,NULL
709,CLOSED,---,NULL
687,CLOSED,---,NULL
710,CLOSED,---,NULL
689,CLOSED,---,NULL
691,CLOSED,---,NULL
692,CLOSED,---,NULL
693,CLOSED,---,NULL
696,CLOSED,---,NULL
697,CLOSED,---,NULL
699,CLOSED,---,NULL
703,CLOSED,---,NULL
704,CLOSED,---,NULL
706,CLOSED,---,NULL
708,CLOSED,---,NULL
711,CLOSED,---,NULL
712,CLOSED,---,NULL
713,CLOSED,---,NULL
714,CLOSED,---,NULL
715,CLOSED,---,NULL
716,CLOSED,---,NULL
717,CLOSED,---,NULL
718,CLOSED,---,NULL
719,CLOSED,---,NULL
720,CLOSED,---,NULL
722,CLOSED,---,NULL
721,CLOSED,---,NULL
723,CLOSED,---,NULL
729,CLOSED,---,NULL
731,CLOSED,---,NULL
732,CLOSED,---,NULL
724,CLOSED,---,NULL
725,CLOSED,---,NULL
726,CLOSED,---,NULL
727,CLOSED,---,NULL
734,CLOSED,---,NULL
728,CLOSED,---,NULL
730,CLOSED,---,NULL
733,CLOSED,---,NULL
736,CLOSED,---,NULL
738,CLOSED,---,NULL
739,CLOSED,---,NULL
735,CLOSED,---,NULL
740,CLOSED,---,NULL
741,CLOSED,---,NULL
743,CLOSED,---,NULL
737,CLOSED,---,NULL
744,CLOSED,---,NULL
748,CLOSED,---,NULL
749,CLOSED,---,NULL
753,CLOSED,---,NULL
754,CLOSED,---,NULL
756,CLOSED,---,NULL
757,CLOSED,---,NULL
760,CLOSED,---,NULL
742,CLOSED,---,NULL
745,CLOSED,---,NULL
746,CLOSED,---,NULL
747,CLOSED,---,NULL
750,CLOSED,---,NULL
751,CLOSED,---,NULL
752,CLOSED,---,NULL
755,CLOSED,---,NULL
758,CLOSED,---,NULL
759,CLOSED,---,NULL
765,CLOSED,---,NULL
769,CLOSED,---,NULL
761,CLOSED,---,NULL
770,CLOSED,---,NULL
762,CLOSED,---,NULL
763,CLOSED,---,NULL
764,CLOSED,---,NULL
766,CLOSED,---,NULL
767,CLOSED,---,NULL
768,CLOSED,---,NULL
773,CLOSED,---,NULL
777,CLOSED,---,NULL
786,CLOSED,---,NULL
787,CLOSED,---,NULL
771,CLOSED,---,NULL
772,CLOSED,---,NULL
789,CLOSED,---,NULL
774,CLOSED,---,NULL
775,CLOSED,---,NULL
792,CLOSED,---,NULL
796,CLOSED,---,NULL
776,CLOSED,---,NULL
801,CLOSED,---,NULL
805,CLOSED,---,NULL
778,CLOSED,---,NULL
779,CLOSED,---,NULL
780,CLOSED,---,NULL
781,CLOSED,---,NULL
811,CLOSED,---,NULL
812,CLOSED,---,NULL
782,CLOSED,---,NULL
783,CLOSED,---,NULL
813,CLOSED,---,NULL
784,CLOSED,---,NULL
785,CLOSED,---,NULL
788,CLOSED,---,NULL
790,CLOSED,---,NULL
814,CLOSED,---,NULL
791,CLOSED,---,NULL
793,CLOSED,---,NULL
794,CLOSED,---,NULL
815,CLOSED,---,NULL
795,CLOSED,---,NULL
797,CLOSED,---,NULL
798,CLOSED,---,NULL
799,CLOSED,---,NULL
817,CLOSED,---,NULL
818,CLOSED,---,NULL
800,CLOSED,---,NULL
820,CLOSED,---,NULL
823,CLOSED,---,NULL
802,CLOSED,---,NULL
825,CLOSED,---,NULL
827,CLOSED,---,NULL
829,CLOSED,---,NULL
803,CLOSED,---,NULL
804,CLOSED,---,NULL
830,CLOSED,---,NULL
806,CLOSED,---,NULL
807,CLOSED,---,NULL
808,CLOSED,---,NULL
809,CLOSED,---,NULL
810,CLOSED,---,NULL
816,CLOSED,---,NULL
819,CLOSED,---,NULL
821,CLOSED,---,NULL
822,CLOSED,---,NULL
824,CLOSED,---,NULL
826,CLOSED,---,NULL
828,CLOSED,---,NULL
831,CLOSED,---,NULL
832,CLOSED,---,NULL
833,CLOSED,---,NULL
834,CLOSED,---,NULL
836,CLOSED,---,NULL
838,CLOSED,---,NULL
839,CLOSED,---,NULL
835,CLOSED,---,NULL
841,CLOSED,---,NULL
837,CLOSED,---,NULL
842,CLOSED,---,NULL
840,CLOSED,---,NULL
843,CLOSED,---,NULL
844,CLOSED,---,NULL
846,CLOSED,---,NULL
847,CLOSED,---,NULL
848,CLOSED,---,NULL
849,CLOSED,---,NULL
845,CLOSED,---,NULL
852,CLOSED,---,NULL
850,CLOSED,---,NULL
851,CLOSED,---,NULL
853,CLOSED,---,NULL
854,CLOSED,---,NULL
855,CLOSED,---,NULL
857,CLOSED,---,NULL
858,CLOSED,---,NULL
859,CLOSED,---,NULL
860,CLOSED,---,NULL
856,CLOSED,---,NULL
861,CLOSED,---,NULL
863,CLOSED,---,NULL
864,CLOSED,---,NULL
865,CLOSED,---,NULL
862,CLOSED,---,NULL
868,CLOSED,---,NULL
869,CLOSED,---,NULL
866,CLOSED,---,NULL
871,CLOSED,---,NULL
867,CLOSED,---,NULL
872,CLOSED,---,NULL
874,CLOSED,---,NULL
870,CLOSED,---,NULL
875,CLOSED,---,NULL
876,CLOSED,---,NULL
873,CLOSED,---,NULL
877,CLOSED,---,NULL
878,CLOSED,---,NULL
879,CLOSED,---,NULL
880,CLOSED,---,NULL
881,CLOSED,---,NULL
885,CLOSED,---,NULL
882,CLOSED,---,NULL
883,CLOSED,---,NULL
884,CLOSED,---,NULL
892,CLOSED,---,NULL
893,CLOSED,---,NULL
894,CLOSED,---,NULL
897,CLOSED,---,NULL
898,CLOSED,---,NULL
899,CLOSED,---,NULL
900,CLOSED,---,NULL
886,CLOSED,---,NULL
901,CLOSED,---,NULL
887,CLOSED,---,NULL
888,CLOSED,---,NULL
903,CLOSED,---,NULL
905,CLOSED,---,NULL
906,CLOSED,---,NULL
907,CLOSED,---,NULL
908,CLOSED,---,NULL
909,CLOSED,---,NULL
910,CLOSED,---,NULL
889,CLOSED,---,NULL
890,CLOSED,---,NULL
891,CLOSED,---,NULL
895,CLOSED,---,NULL
911,CLOSED,---,NULL
912,CLOSED,---,NULL
896,CLOSED,---,NULL
902,CLOSED,---,NULL
904,CLOSED,---,NULL
914,CLOSED,---,NULL
916,CLOSED,---,NULL
913,CLOSED,---,NULL
917,CLOSED,---,NULL
915,CLOSED,---,NULL
918,CLOSED,---,NULL
920,CLOSED,---,NULL
922,CLOSED,---,NULL
923,CLOSED,---,NULL
925,CLOSED,---,NULL
927,CLOSED,---,NULL
929,CLOSED,---,NULL
931,CLOSED,---,NULL
919,CLOSED,---,NULL
933,CLOSED,---,NULL
935,CLOSED,---,NULL
936,CLOSED,---,NULL
937,CLOSED,---,NULL
939,CLOSED,---,NULL
942,CLOSED,---,NULL
943,CLOSED,---,NULL
947,CLOSED,---,NULL
921,CLOSED,---,NULL
949,CLOSED,---,NULL
924,CLOSED,---,NULL
950,CLOSED,---,NULL
954,CLOSED,---,NULL
926,CLOSED,---,NULL
928,CLOSED,---,NULL
930,CLOSED,---,NULL
932,CLOSED,---,NULL
934,CLOSED,---,NULL
938,CLOSED,---,NULL
940,CLOSED,---,NULL
941,CLOSED,---,NULL
944,CLOSED,---,NULL
945,CLOSED,---,NULL
955,CLOSED,---,NULL
946,CLOSED,---,NULL
948,CLOSED,---,NULL
951,CLOSED,---,NULL
952,CLOSED,---,NULL
959,CLOSED,---,NULL
953,CLOSED,---,NULL
963,CLOSED,---,NULL
956,CLOSED,---,NULL
957,CLOSED,---,NULL
969,CLOSED,---,NULL
958,CLOSED,---,NULL
960,CLOSED,---,NULL
961,CLOSED,---,NULL
970,CLOSED,---,NULL
972,CLOSED,---,NULL
962,CLOSED,---,NULL
964,CLOSED,---,NULL
965,CLOSED,---,NULL
975,CLOSED,---,NULL
978,CLOSED,---,NULL
979,CLOSED,---,NULL
980,CLOSED,---,NULL
981,CLOSED,---,NULL
983,CLOSED,---,NULL
966,CLOSED,---,NULL
967,CLOSED,---,NULL
984,CLOSED,---,NULL
985,CLOSED,---,NULL
968,CLOSED,---,NULL
971,CLOSED,---,NULL
973,CLOSED,---,NULL
974,CLOSED,---,NULL
976,CLOSED,---,NULL
977,CLOSED,---,NULL
982,CLOSED,---,NULL
987,CLOSED,---,NULL
986,CLOSED,---,NULL
988,CLOSED,---,NULL
989,CLOSED,---,NULL
990,CLOSED,---,NULL
991,CLOSED,---,NULL
992,CLOSED,---,NULL
996,CLOSED,---,NULL
997,CLOSED,---,NULL
998,CLOSED,---,NULL
993,CLOSED,IMAPS,NULL
994,CLOSED,---,NULL
1000,CLOSED,---,NULL
1001,CLOSED,---,NULL
1002,CLOSED,---,NULL
1009,CLOSED,---,NULL
995,CLOSED,---,NULL
1013,CLOSED,---,NULL
999,CLOSED,---,NULL
1003,CLOSED,---,NULL
1004,CLOSED,---,NULL
1005,CLOSED,---,NULL
1006,CLOSED,---,NULL
1007,CLOSED,---,NULL
1008,CLOSED,---,NULL
1010,CLOSED,---,NULL
1011,CLOSED,---,NULL
1012,CLOSED,---,NULL
1016,CLOSED,---,NULL
1014,CLOSED,---,NULL
1015,CLOSED,---,NULL
1018,CLOSED,---,NULL
1017,CLOSED,---,NULL
1019,CLOSED,---,NULL
1020,CLOSED,---,NULL
1021,CLOSED,---,NULL
1022,CLOSED,---,NULL
1024,CLOSED,---,NULL
1023,CLOSED,---,NULL
